,Date,Natural_Gas_Price,Natural_Gas_Vol.,Crude_oil_Price,Crude_oil_Vol.
129,08-08-2019,2.128,191130.0,52.54,724760.0
130,09-08-2019,2.119,171910.0,54.5,726390.0
131,12-08-2019,2.105,167910.0,54.93,611030.0
132,13-08-2019,2.147,199870.0,57.1,783490.0
133,14-08-2019,2.143,127370.0,55.23,718290.0
134,15-08-2019,2.232,206770.0,54.47,527870.0
135,16-08-2019,2.2,111990.0,54.87,168350.0
136,19-08-2019,2.21,144760.0,56.21,113570.0
137,20-08-2019,2.218,107840.0,56.34,47450.0
138,21-08-2019,2.17,193530.0,55.68,704040.0
139,22-08-2019,2.159,113110.0,55.35,621570.0
140,23-08-2019,2.152,81620.0,54.17,807150.0
141,26-08-2019,2.23,52780.0,53.64,679020.0
142,27-08-2019,2.202,63220.0,54.93,596620.0
143,28-08-2019,2.251,8660.0,55.78,674050.0
144,29-08-2019,2.296,200410.0,56.71,630760.0
145,30-08-2019,2.285,124710.0,55.1,708270.0
146,03-09-2019,2.358,221620.0,53.94,970800.0
147,04-09-2019,2.445,218510.0,56.26,682300.0
148,05-09-2019,2.435,229800.0,56.3,712470.0
149,06-09-2019,2.496,201590.0,56.52,714290.0
150,09-09-2019,2.585,276720.0,57.85,646990.0
151,10-09-2019,2.58,259970.00000000003,57.4,755470.0
152,11-09-2019,2.552,211020.0,55.75,858770.0
153,12-09-2019,2.574,218450.0,55.09,845980.0
154,13-09-2019,2.614,184460.0,54.85,599470.0
155,16-09-2019,2.681,197190.0,62.9,1400000.0
156,17-09-2019,2.668,180760.0,59.34,993240.0
157,18-09-2019,2.637,157920.0,58.11,216960.0
158,19-09-2019,2.538,199310.0,58.13,112330.0
159,20-09-2019,2.534,130290.0,58.09,37980.0
160,23-09-2019,2.527,114580.0,58.64,526790.0
161,24-09-2019,2.503,56840.0,57.29,591530.0
162,25-09-2019,2.502,60510.0,56.49,563550.0
163,26-09-2019,2.428,10410.0,56.41,599650.0
164,27-09-2019,2.404,132790.0,55.91,712970.0
165,30-09-2019,2.33,173790.0,54.07,532520.0
